tf_id,arable_or_grazing_land,bare_earth_or_grass,coniferous_trees,construction_site,games_court,heath_or_rough_grassland,heath_or_rough_grassland_and_scattered_non_coniferous_trees_and_scrub,heath_or_rough_grassland_and_scrub,made_surface,marsh,mixed_trees,mixed_trees_and_scrub,non_coniferous_trees,non_coniferous_trees_and_scrub,residential_garden,scattered_non_coniferous_trees,scattered_non_coniferous_trees_and_scrub,scrub,sloping_masonry,steps,coniferous_trees_and_scrub,scattered_coniferous_trees,scattered_mixed_trees,tennis_court,boulders_or_rock,mud,mud_and_sand_or_shingle,runway,sand_or_shingle,scattered_mixed_trees_and_scrub,scattered_coniferous_trees_and_scrub,slipway,heath_or_rough_grassland_and_scattered_non_coniferous_trees,boulders_or_rock_and_mud_and_sand_or_shingle,boulders_or_rock_and_sand_or_shingle,orchard,slurry_bed,spoil_heap,marsh_and_non_coniferous_trees_and_scrub,quarry,livestock_pen,marsh_and_non_coniferous_trees,heath_or_rough_grassland_and_marsh,heath_or_rough_grassland_and_marsh_and_scattered_coniferous_trees,heath_or_rough_grassland_and_scattered_coniferous_trees,marsh_and_scrub,heath_or_rough_grassland_and_scattered_coniferous_trees_and_scrub,heath_or_rough_grassland_and_scattered_mixed_trees_and_scrub,heath_or_rough_grassland_and_scattered_rock_and_scrub
89,13502.437406,1218189.9976640006,17421.485181,3519.58729,3171.532381,251247.071385,5784.216997,96300.173559,213771.97464400006,9369.729129,7232.740177,4750.501,619395.8671250001,419909.0976719999,446422.9049499996,9936.309778,7784.138666,12365.62162,2038.0264189999998,972.8717329999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0,978851.5613080007,156.082635,196.230479,2273.003607,0,0,0,147131.59085000007,0,8711.005018,32082.087332999996,217892.628831,63063.360279,1081006.3389769983,55791.63778299999,594.055543,2141.445382,126.174,255.10554100000002,554.0158,1729.1353,337.46845,4827.742200000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,92206.16900699999,1332663.1284149988,0,434324.335481,1215.744446,6894.503665,0,0,196812.93353699995,49550.97131000001,0,1612.437,0,82042.32751000002,283842.0401420003,0,0,113357.27611899999,346.646844,200.20267800000002,0,0,0,0,6544.20316,145606.176458,18389.895917,72119.686971,1058475.1261649998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,605313.7609140003,686.93905,3113.739656,497.971171,0,0,0,398967.0205569998,0,7335.420220999999,18801.889332,31741.254424000002,11209.691402,996469.7008300017,13546.153968,0,0,629.989986,364.89813000000004,0,0,0,2998.535273,0,0,0,0,0,952.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1176642.8054250001,744853.0459420005,23503.809948,5865.61725,671.6610909999999,189320.776922,0,11575.2004,261411.46452199973,933.7626,43811.612977,9486.283628000001,160042.70174699996,288426.90572499996,716560.430542998,8003.808615,3487.664425,12219.868900000001,509.83575599999995,489.792263,0,446.95,23448.516965,4234.064269,0,0,0,0,0,24548.975723,378.476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,179887.15134399978,0,0,3390.22136,0,0,0,103590.35286900002,0,0,0,1332.741022,10903.271883,710838.5526159971,0,0,6037.946497999999,402.705,145.45417899999998,0,0,0,3199.4700000000003,0,0,0,0,0,0,0,175.075177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,903935.093417,766794.501538,44843.5871,2928.209959,0,12281.031404000001,53974.587438999995,79681.980541,128181.72643799995,31451.45665,35678.330056,80122.480137,79075.368963,434537.525904,901960.6746280002,3412.8433950000003,0,5952.40641,0,199.75542300000006,18401.401745,15968.991812,0,582.96235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,2137899.3107209997,761614.6312550001,14150.634921,5938.959432,252.680695,0,2318.8464,0,241907.9389259999,1283.3573,8221.122553,2153.169544,69113.59512600001,157385.547648,1177175.417807005,367.46524999999997,0,2452.317987,515.3804230000001,101.23479999999999,0,0,0,3064.0425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1413131.7335819998,846972.5154490004,0,36505.512939,2928.5177639999997,0,0,8439.10635,232772.5838390001,0,0,0,16584.096363,200568.98014499998,825137.0194189996,6819.621133,16811.075268,19888.691274999997,0,102.975927,4648.749681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0,478281.5082840007,832.4103,54094.007128,1270.195429,2715.166262,0,6160.621543,888591.2189889983,0,2863.957458,23991.014098,7702.8758450000005,70051.915982,289434.87397500064,12953.006554999998,2268.454089,63850.897156000006,5037.112426,1251.8184349999997,0,0,0,0,1375.2478449999999,3204.803763,0,0,14239.089752999998,0,0,220.91040399999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,0,430427.1433750001,0,109152.77730999999,1270.195429,2715.166262,0,6160.621543,875481.8214879989,0,6581.559268999999,18675.894808,14440.153016000002,60438.900046999996,307349.03345000005,25767.964171000003,2268.454089,63306.073342,5423.865416,1177.1912370000002,0,0,0,0,1375.2478449999999,3204.803763,0,0,16406.804653,0,0,220.91040399999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0,622609.2642849993,0,112008.23515000001,37812.50270099999,0,0,2939.618463,559755.5363509997,0,0,0,84079.15675300003,32704.356985000006,189554.1723239998,23510.898678999998,0,21400.636365,1865.584954,2214.773906,0,0,0,0,0,6037.415,0,0,2099.785296,0,307.7475,32.202437,7839.126047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0,487143.72056000016,41961.622879999995,22872.396353,14516.244075999999,3187.689111,0,7842.607248,245146.40141,0,164307.137139,74618.54978200002,167198.39771299998,155743.868047,1385351.1170209995,0,0,2913.910749,42.38305,74.58927,0,0,0,4763.325022999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0,892260.0736760005,4688.00215,11140.852684,24360.931925999997,0,0,0,328770.8414899999,0,11451.052955000001,32436.912296,71712.812667,117517.29578900003,1040706.5959739978,4237.723143,12405.670578000001,25858.700273,3912.39159,532.1392610000001,0,0,0,715.855,51564.35225,101315.19415200001,0,0,94193.51628599998,916.61875,743.724925,80.06375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,464028.598187,1269523.4767959998,0,6504.325612,876.754484,54287.46361699999,0,1669.950631,131509.64515400003,0,52019.14276,131314.39905299997,75256.39233799998,165367.77359200004,1176914.6420349982,30973.337519,15405.745044,8630.497391,304.312397,462.36158500000016,0,0,0,1523.552542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,0,634381.5933610008,0,8102.139693,1173.8076820000001,0,0,0,537617.2332690003,0,16445.192878,0,85029.676829,78519.668605,447062.7423030007,0,0,18404.985131,629.5412,686.8964489999998,0,0,0,609.626465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0,352752.7817130002,0,1274.910319,533.628297,14299.535606,0,0,726875.6152840005,0,0,0,30437.998818000004,41470.637158000005,314175.0709089991,0,0,247.819054,909.763922,623.5838360000001,0,0,0,0,5195.2825060000005,30323.077913,112916.36811,0,0,0,0,0,0,12198.357375,678.5507,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,748110.6909139999,852978.2386369996,0,37570.660065,9511.663959,48310.31001100001,100142.424551,26159.494977,427854.1295880004,14102.01135,0,26292.448654,125598.04206899999,365253.31245399994,619709.7753440004,53707.924935999996,0,9294.130643,0,362.785619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,267210.392231,680007.9972099984,1737.503389,4128.069292,178.106859,0,0,8167.592451,289281.7194149998,0,4101.982258,6071.894061999999,22584.329396999998,103594.49744,1540384.7574639998,116132.02309800002,396.095715,4560.689758,29.822400000000002,533.2135900000002,350.78479,0,0,18581.053436000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,0,528387.0919899994,0,2132.471118,383.079094,0,0,0,262804.5408440003,0,0,899.05,29665.01135,202019.266511,1178361.4622619976,7109.2677,0,15167.489444,0,48.6036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0,689788.5390779997,535.936,113145.065984,16036.050765,3120.00446,0,11129.2035,133267.04663999993,0,0,0,25582.205625,97721.64807200001,1003109.3087549987,0,0,18805.078745,575.41665,1742.6615099999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,606596.5436399999,1398532.5420689995,0,36568.739736,0,7513.043614,11764.087504,0,353893.107337,4923.745248,2269.262006,64568.003729000004,51646.068217,468766.257523,651170.6442109992,23822.62327,9719.361106,10950.78043,441.96811,254.33547300000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,0,533857.9665859996,535.936,110986.620386,18986.752471,4461.990938,0,0,173893.99218300002,0,0,0,27939.604261,112310.63255599998,815208.2391250022,869.71115,0,6787.344069999999,0,1001.736076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,343358.157837,871328.4516160011,0,0,1227.130433,92541.17619,0,35275.240311,403046.26280299976,0,56327.495401,0,214104.15704699996,226423.32709600002,936983.7727240005,7366.273988000001,0,24601.591258,111.265,580.2978390000001,0,0,0,0,0,0,0,0,0,0,0,0,20857.472909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,0,190472.87078300002,0,2425.883128,540.876456,0,0,0,92604.9615939999,0,0,0,9763.412017,6478.044292999999,619919.505720998,17136.595658,0,80.27555,187.88775,78.641511,0,0,0,5759.627948,4857.551445,0,0,0,28470.043161,0,0,1173.789332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,887300.9117490001,740322.7481530011,0,48711.456513,2026.734054,2144.002182,6698.277211,43627.405536000006,183722.9146529999,71671.98847,0,2842.75025,72830.21324099998,279062.000903,892626.4668019977,19649.814985,33276.543361000004,2185.203515,251.93087200000002,11.116943,0,2728.727065,390.0248,618.28635,0,0,0,0,0,0,0,0,0,0,0,1590.1134439999998,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1481857.6386990005,853611.9198089999,755.775,21144.415037,3087.0412460000002,0,0,0,271886.783102,0,4196.291403,2120.805289,159031.46559799998,97711.972088,772978.5626400022,30525.784824,1455.038275,8841.701511,271.07684,284.32356699999997,0,1822.933459,0,1615.250716,0,0,0,0,0,0,0,51.518168,0,0,0,0,703.730546,0,0,0,0,0,0,0,0,0,0,0,0
151,0,817552.465236,0,1039.535443,4956.753923,0,0,0,180552.48950299987,1480.1030999999998,2348.444925,2691.55625,28006.826730999994,131026.68207300002,641883.4834089983,24672.803043999993,2185.0375,7516.0379840000005,21.71925,242.62193800000003,0,0,0,7047.6104080000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0,956473.3931650004,1029.8428000000001,19163.315912,23460.270201,7195.12607,0,19991.473679000002,272338.9295190002,0,13476.895401,33332.652491,48041.510568000005,116449.88867399997,954532.3241700003,4593.5969430000005,14055.147637000002,22362.703402,2039.1802,446.13079000000005,3171.160445,0,0,0,0,0,0,0,0,0,743.724925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,660379.7163,896196.4200710003,0,19261.493771999998,4832.337225,949743.33483,0,56718.965639,310681.9377990002,0,68651.46871100001,25975.061670000003,33138.483100000005,27112.298064000002,731283.1433699998,1308.845652,0,2510.885359,800.591334,141.503768,0,0,0,1555.3436,0,0,0,311.596052,0,0,0,0,0,0,0,0,0,854.496513,0,0,0,0,0,0,0,0,0,0,0
155,2419458.435577,727471.4615709999,3277.076567,79546.140989,7523.018018,68599.97598399999,72372.49205700001,19190.32405,251430.77257499986,0,61597.56630299999,36091.739743,180700.72265199994,254137.71386300007,563141.593716,21023.426944,12050.16605,28581.107246,425.98675000000003,118.958907,4860.926798,0,0,0,0,0,0,0,0,0,0,0,26032.022262,0,0,0,0,0,1809.174121,0,0,0,0,0,0,0,0,0,0
156,0,596720.4695269997,0,49687.606836000006,6133.426001999999,2031.32765,0,7669.254938,451107.7722490002,0,10830.224739000001,15104.372693000001,126367.030999,88723.07982599999,859489.9704860008,239.0025,1721.2073990000001,3447.322885,85.943515,2182.0845750000008,0,0,0,8411.53099,0,0,0,0,0,281.98,0,0,1160.18875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,0,577895.653813,21916.311598,0,213.862406,27090.917449,0,33747.954535000004,205161.78906300003,0,0,2088.120684,169675.05770199993,38024.978306000005,1381714.3765900044,24394.194033999996,17091.529858,9103.261905999996,2422.9033,773.0486660000001,0,0,0,7431.67476,1497.5665,0,0,0,22247.06995,0,2309.0293,0,10969.82513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,903935.093417,775215.8062289999,44843.5871,2928.209959,0,12281.031404000001,53974.587438999995,79681.980541,125775.55818299996,31451.45665,35678.330056,80122.480137,80703.801713,437120.882454,892314.6375640003,3412.8433950000003,0,5952.40641,0,199.75542300000006,18401.401745,15968.991812,0,582.96235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5314.522837,0,0,0,0,0,0,0,0,0,0
165,599988.4402409999,837932.0655140002,0,1507.959202,0,0,0,0,218020.46165499985,0,0,0,12031.393164,65777.718376,822480.3210880014,0,81.740851,99122.231832,0,191.99033200000002,0,0,0,1821.67,0,0,0,0,0,0,1280.270075,0,0,0,0,0,0,0,0,38339.454875999996,0,0,0,0,0,0,0,0,0
