obs,sn,tf_id
2454,263,85
7740,286,86
14349,765,87
11050,786,88
25256,450,89
27,14,90
7096,370,91
10445,276,94
4460,107,95
3608,374,96
8127,115,97
3413,635,98
9788,274,99
161,104,100
6181,618,132
5721,513,133
1122,285,134
5775,163,135
3123,515,136
5497,322,137
73,32,138
366,65,139
26646,503,141
10022,467,142
1431,81,143
4149,336,144
6650,184,145
7179,323,146
92,52,147
527,89,148
4135,352,149
6420,309,150
5322,167,151
2026,357,153
2859,434,154
4553,349,155
860,104,156
5485,141,161
3410,635,164
1253,111,165
1408,116,168
138,55,170
204,55,171
2962,127,172
1435,84,174
4395,87,175
8607,185,176
5697,181,177
5089,88,179
1068,83,180
7377,156,181
6632,157,182
69,41,183
36,20,
1375,85,185
8859,161,186
1067,99,187
1140,88,188
3045,93,189
245,88,190
683,75,191
24650,146,192
407,55,194
19544,195,195
1180,56,196
1531,75,197
11322,965,198
684,78,199
18783,244,202
5144,116,203
987,167,204
155,45,205
512,74,206
5507,108,207
4669,348,208
10589,188,209
10197,154,210
733,108,211
570,174,212
5486,304,214
32036,451,215
19776,303,216
5394,157,217
2956,125,218
19079,426,219
5060,156,220
1671,113,221
957,45,222
809,54,224
8714,268,225
1014,192,226
2848,217,227
5739,942,228
6458,231,229
3074,310,230
1155,85,232
4350,486,233
6686,111,234
3624,132,235
628,136,236
1435,84,237
1389,120,238
6194,266,239
289,66,242
438,107,243
2291,388,244
4664,155,245
21,15,
3792,50,247
1578,128,248
577,62,249
22512,413,250
6154,307,252
1738,369,253
2875,353,254
2361,170,255
13055,588,256
7617,354,257
12460,967,258
2512,344,259
1331,217,260
4224,622,261
9758,178,263
610,159,264
5548,235,265
8240,301,268
1165,167,269
1850,314,270
209,103,274
934,296,276
10146,454,277
348,189,278
20415,507,279
9603,340,280
555,165,281
1166,209,282
4927,585,287
44801,266,288
11603,218,289
1361,212,290
467,51,292
20719,387,299
1990,213,300
160,60,301
1777,139,303
7668,282,304
3893,182,305
5306,191,313
429,120,315
9932,239,316
396,124,317
457,155,319
7074,186,320
5156,146,321
4429,310,323
12002,360,324
6862,241,326
394,128,327
2169,321,329
3434,556,330
5517,511,333
4148,425,334
6097,587,335
2789,285,336
6866,520,337
8309,449,338
652,137,339
106,44,
3591,565,349
5494,123,352
3743,183,353
8090,708,355
803,93,364
5554,193,365
1311,349,374
