TP,site,N
2003,85,2
2004,85,1
2006,85,1
2007,85,2
2008,85,12
2009,85,12
2010,85,12
2011,85,12
2012,85,11
2013,85,12
2014,85,12
2015,85,12
2016,85,12
2017,85,12
2018,85,12
2019,85,12
2020,85,2
2021,85,3
2022,85,1
2000,86,12
2001,86,12
2002,86,12
2003,86,12
2004,86,12
2005,86,12
2006,86,12
2007,86,12
2008,86,12
2009,86,12
2010,86,12
2011,86,12
2012,86,12
2013,86,12
2014,86,12
2015,86,12
2016,86,12
2017,86,12
2018,86,12
2019,86,12
2020,86,6
2021,86,3
2022,86,4
2000,87,12
2001,87,12
2002,87,12
2003,87,12
2004,87,12
2005,87,12
2006,87,12
2007,87,12
2008,87,12
2009,87,12
2010,87,12
2011,87,12
2012,87,12
2013,87,12
2014,87,12
2015,87,12
2016,87,12
2017,87,12
2018,87,12
2019,87,12
2020,87,9
2021,87,12
2022,87,11
2000,88,12
2001,88,12
2002,88,12
2003,88,11
2004,88,12
2005,88,12
2006,88,12
2007,88,11
2008,88,11
2009,88,12
2010,88,12
2011,88,11
2012,88,12
2013,88,10
2014,88,10
2015,88,10
2016,88,12
2017,88,12
2018,88,12
2019,88,11
2020,88,9
2021,88,9
2022,88,6
2000,89,11
2001,89,12
2002,89,12
2003,89,8
2004,89,10
2005,89,12
2006,89,11
2007,89,12
2008,89,12
2009,89,12
2010,89,12
2011,89,12
2012,89,12
2013,89,12
2014,89,12
2015,89,12
2016,89,12
2017,89,12
2018,89,12
2019,89,12
2020,89,6
2021,89,4
2022,89,4
2018,90,6
2019,90,5
2020,90,1
2021,90,4
2022,90,1
2000,91,10
2001,91,12
2002,91,6
2003,91,8
2004,91,4
2005,91,6
2006,91,12
2007,91,12
2008,91,12
2009,91,12
2010,91,12
2011,91,12
2012,91,12
2013,91,12
2014,91,12
2015,91,12
2016,91,12
2017,91,12
2018,91,12
2019,91,12
2020,91,8
2021,91,11
2022,91,10
2000,94,1
2001,94,4
2002,94,5
2003,94,3
2004,94,3
2005,94,6
2006,94,10
2007,94,11
2008,94,9
2009,94,12
2010,94,12
2011,94,12
2012,94,12
2013,94,12
2014,94,12
2015,94,12
2016,94,12
2017,94,12
2018,94,12
2019,94,12
2020,94,5
2021,94,4
2022,94,4
2000,95,7
2001,95,12
2002,95,12
2003,95,12
2004,95,12
2005,95,12
2006,95,12
2007,95,12
2008,95,12
2009,95,12
2010,95,12
2011,95,12
2012,95,12
2013,95,12
2014,95,12
2015,95,12
