site,taxa,N
85,Acroloxus lacustris,2
85,Ampullaceana balthica,2
85,Ancylus fluviatilis,2
85,Anisus leucostoma,2
85,Anisus vortex,2
85,Apus apus,8
85,Bathyomphalus contortus,2
85,Bithynia tentaculata,2
85,Calopteryx splendens,2
85,Euglesa casertana,2
85,Euglesa henslowana,2
85,Euglesa hibernica,2
85,Euglesa nitida,2
85,Euglesa personata,1
85,Euglesa subtruncata,2
85,Galba truncatula,1
85,Gyraulus albus,2
85,Gyraulus laevis,1
85,Physa fontinalis,2
85,Pisidium amnicum,2
85,Planorbis carinatus,2
85,Planorbis planorbis,2
85,Sphaerium corneum,2
85,Theodoxus fluviatilis,2
85,Tipula paludosa,2
85,Valvata cristata,2
85,Valvata piscinalis,2
85,Euglesa milium,1
85,Lymnaea stagnalis,1
85,Chroicocephalus ridibundus,9
85,Buteo buteo,4
85,Falco tinnunculus,6
85,Anas platyrhynchos,10
85,Carduelis carduelis,133
85,Chloris chloris,54
85,Columba palumbus,140
85,Corvus corone,30
85,Cyanistes caeruleus,135
85,Cygnus olor,5
85,Erithacus rubecula,118
85,Fringilla coelebs,75
85,Gallinula chloropus,7
85,Parus major,82
85,Passer domesticus,119
85,Periparus ater,52
85,Pica pica,51
85,Prunella modularis,114
85,Streptopelia decaocto,132
85,Sturnus vulgaris,128
85,Turdus merula,140
85,Aegithalos caudatus,30
85,Coloeus monedula,16
85,Dendrocopos major,17
85,Emberiza schoeniclus,26
85,Sylvia atricapilla,24
85,Troglodytes troglodytes,45
85,Tyto alba,5
85,Athene noctua,1
85,Certhia familiaris,4
85,Corvus frugilegus,9
85,Phylloscopus collybita,6
85,Spinus spinus,7
85,Turdus philomelos,14
85,Accipiter nisus,11
85,Motacilla alba,6
85,Aglais io,15
85,Gonepteryx rhamni,11
85,Phasianus colchicus,9
85,Polygonia c-album,6
85,Sciurus carolinensis,1
85,Turdus viscivorus,3
85,Anthocharis cardamines,4
85,Erinaceus europaeus,7
85,Picus viridis,2
85,Pyrrhula pyrrhula,28
85,Vespa crabro,3
85,Celastrina argiolus,6
85,Hirundo rustica,3
85,Rattus norvegicus,1
85,Motacilla cinerea,1
85,Ardea cinerea,3
85,Regulus regulus,6
85,Turdus iliacus,2
85,Turdus pilaris,1
85,Delichon urbicum,3
85,Emberiza citrinella,1
85,Elasmucha grisea,1
85,Harmonia axyridis,1
85,Lutra lutra,1
85,Alauda arvensis,1
85,Alectoris rufa,1
85,Phalacrocorax carbo,1
85,Erythromma najas,1
85,Curruca communis,2
85,Mustela erminea,1
85,Columba oenas,3
85,Acer pseudoplatanus,2
85,Hedera helix,2
85,Urtica dioica,2
85,Vanellus vanellus,2
85,Anthriscus sylvestris,2
85,Crataegus monogyna,2
85,Filipendula ulmaria,2
85,Galium mollugo,1
85,Geranium pyrenaicum,2
85,Lamium album,2
85,Quercus robur,2
85,Rosa canina,1
85,Tragopogon pratensis,1
85,Vicia sativa,1
85,Persicaria maculosa,1
85,Cardamine pratensis,2
85,Pieris rapae,25
85,Strix aluco,1
85,Campanula rotundifolia,1
85,Maniola jurtina,6
85,Phyllitis scolopendrium,1
85,Pteridium aquilinum,1
85,Rhinanthus minor,1
85,Aglais urticae,11
85,Bombus hypnorum,10
85,Pieris napi,1
85,Triturus cristatus,1
85,Muscardinus avellanarius,1
85,Rana temporaria,23
85,Vanessa atalanta,13
85,Vulpes vulpes,1
85,Cettia cetti,1
85,Egretta garzetta,1
85,Fulica atra,1
85,Podiceps cristatus,1
85,Apodemus sylvaticus,1
85,Impatiens glandulifera,1
85,Columba livia,2
85,Acer campestre,1
85,Acer platanoides,1
85,Achillea millefolium,1
85,Aesculus hippocastanum,1
85,Alchemilla mollis,1
85,Alliaria petiolata,1
85,Allium triquetrum,1
85,Alopecurus pratensis,1
85,Arrhenatherum elatius,1
85,Arum maculatum,1
85,Asplenium trichomanes,2
85,Atriplex patula,1
85,Bellis perennis,1
85,Borago officinalis,1
85,Bromus hordeaceus,1
85,Bromus sterilis,1
85,Bryonia dioica,1
85,Buddleja davidii,1
85,Cardamine hirsuta,1
85,Carex pendula,1
85,Carex sylvatica,1
85,Cerastium fontanum,1
85,Cerastium glomeratum,1
85,Chamerion angustifolium,1
85,Cirsium arvense,1
85,Cirsium vulgare,1
85,Clematis vitalba,1
85,Convolvulus arvensis,1
85,Cornus sanguinea,1
85,Corylus avellana,1
85,Cotoneaster horizontalis,1
85,Crataegus laevigata,1
85,Crepis vesicaria,1
85,Cymbalaria muralis,1
85,Dactylis glomerata,1
85,Deschampsia cespitosa,1
85,Dipsacus fullonum,1
85,Epilobium hirsutum,1
85,Erophila verna,1
85,Euonymus europaeus,1
85,Euphorbia peplus,1
85,Fallopia baldschuanica,1
85,Fallopia convolvulus,1
85,Ficaria verna,1
85,Fragaria vesca,1
85,Fraxinus excelsior,1
85,Galium aparine,1
85,Galium odoratum,1
85,Geranium dissectum,1
85,Geranium molle,1
85,Geranium robertianum,1
85,Geranium rotundifolium,1
85,Geum urbanum,1
85,Glechoma hederacea,1
85,Heracleum sphondylium,1
85,Holcus lanatus,1
85,Hyacinthoides non-scripta,1
85,Ilex aquifolium,1
85,Jacobaea vulgaris,1
85,Lamium purpureum,1
85,Lapsana communis,1
85,Ligustrum vulgare,1
85,Linaria purpurea,1
85,Lonicera periclymenum,1
85,Luzula campestris,1
85,Lycium barbarum,1
85,Mahonia aquifolium,1
85,Malva sylvestris,1
85,Matricaria discoidea,1
85,Medicago arabica,1
85,Medicago lupulina,1
85,Myosotis ramosissima,1
85,Myosotis sylvatica,1
85,Papaver orientale,1
85,Pentaglottis sempervirens,1
85,Pilosella aurantiaca,1
85,Pilosella officinarum,1
85,Plantago lanceolata,1
85,Poa annua,1
85,Poa pratensis,1
85,Poa trivialis,1
85,Polygonum aviculare,1
85,Potentilla reptans,1
85,Primula vulgaris,1
85,Prunella vulgaris,1
85,Prunus avium,1
85,Prunus cerasifera,1
85,Prunus lusitanica,1
85,Prunus spinosa,1
85,Pseudofumaria lutea,1
85,Ranunculus acris,1
85,Ranunculus bulbosus,1
85,Ranunculus repens,1
85,Ribes uva-crispa,1
85,Rumex crispus,1
85,Rumex obtusifolius,1
85,Sagina apetala,1
85,Sagina procumbens,1
85,Salix caprea,1
85,Sambucus nigra,1
85,Scorzoneroides autumnalis,1
85,Senecio vulgaris,1
85,Sisymbrium officinale,1
85,Solanum dulcamara,1
85,Sonchus asper,1
85,Sonchus oleraceus,1
85,Stachys sylvatica,1
85,Stellaria holostea,1
85,Stellaria media,1
85,Symphoricarpos albus,1
85,Symphytum orientale,1
85,Taxus baccata,1
85,Trifolium dubium,1
85,Trifolium pratense,1
85,Tripleurospermum inodorum,1
85,Tussilago farfara,1
85,Ulmus procera,1
85,Veronica arvensis,1
85,Veronica hederifolia,1
85,Veronica persica,1
85,Veronica polita,1
85,Veronica serpyllifolia,1
85,Viburnum lantana,1
85,Viburnum opulus,1
85,Viola reichenbachiana,1
85,Viola riviniana,1
85,Pieris brassicae,9
85,Vanessa cardui,4
85,Asplenium ruta-muraria,1
85,Ceterach officinarum,1
85,Erigeron karvinskianus,1
85,Senecio squalidus,1
85,Lilioceris lilii,2
85,Philaenus spumarius,1
85,Aphantopus hyperantus,1
85,Pyronia tithonus,1
85,Anax imperator,1
85,Macroglossum stellatarum,1
85,Talpa europaea,1
85,Bombus lapidarius,1
85,Chrysolina americana,1
85,Lucanus cervus,1
86,Accipiter nisus,127
86,Carduelis carduelis,240
86,Chloris chloris,238
86,Coloeus monedula,200
86,Columba livia,34
86,Columba palumbus,239
86,Corvus corone,189
86,Cyanistes caeruleus,240
86,Dendrocopos major,177
86,Erithacus rubecula,238
86,Fringilla coelebs,239
86,Garrulus glandarius,104
86,Motacilla alba,39
86,Parus major,240
86,Passer domesticus,224
86,Periparus ater,231
86,Pica pica,238
86,Prunella modularis,239
86,Pyrrhula pyrrhula,105
86,Streptopelia decaocto,217
86,Sturnus vulgaris,184
86,Sylvia atricapilla,82
86,Troglodytes troglodytes,161
86,Turdus merula,237
86,Aegithalos caudatus,174
86,Regulus regulus,31
86,Turdus philomelos,80
86,Corvus frugilegus,60
86,Anacaena limbata,1
86,Helophorus grandis,1
86,Helophorus minutus,1
86,Hydroporus planus,1
86,Spinus spinus,21
86,Coccinella septempunctata,3
86,Eriothrix rufomaculata,2
86,Propylea quattuordecimpunctata,1
86,Siphona geniculata,2
86,Strix aluco,3
86,Tytthaspis sedecimpunctata,1
