taxa,FALSE,TRUE,prop
Turdus merula,10799,18668,63.352224522347
Cyanistes caeruleus,11067,18400,62.4427325482743
Erithacus rubecula,11370,18097,61.4144636372892
Columba palumbus,11728,17739,60.199545254013
Pica pica,12409,17058,57.888485424373
Parus major,12421,17046,57.8477619031459
Prunella modularis,12463,17004,57.7052295788509
Passer domesticus,14010,15457,52.4552889673194
Chloris chloris,14810,14657,49.740387552177
Sturnus vulgaris,15046,14421,48.93949163471
Fringilla coelebs,15296,14171,48.091084942478
Streptopelia decaocto,15544,13923,47.2494655037839
Carduelis carduelis,15958,13509,45.8445040214477
Corvus corone,17026,12441,42.2201106322327
Troglodytes troglodytes,17185,12282,41.6805239759731
Periparus ater,17448,12019,40.7880001357451
Aegithalos caudatus,19836,9631,32.6840194115451
Turdus philomelos,22118,7349,24.9397631248515
Columba livia,22190,7277,24.6954219974887
Accipiter nisus,22457,7010,23.789323650185
Coloeus monedula,22578,6889,23.3786948111447
Dendrocopos major,23363,6104,20.7146977975362
Pyrrhula pyrrhula,23628,5839,19.8153867037703
Anas platyrhynchos,24082,5385,18.274680150677
Sylvia atricapilla,24499,4968,16.8595377880341
Chroicocephalus ridibundus,24540,4927,16.720399090508
Gallinula chloropus,24653,4814,16.3369192656192
Sciurus carolinensis,24726,4741,16.0891845114874
Regulus regulus,25569,3898,13.2283571452812
Cygnus olor,25793,3674,12.4681847490413
Motacilla alba,25821,3646,12.3731631995113
Turdus viscivorus,25912,3555,12.0643431635389
Ardea cinerea,25944,3523,11.9557471069332
Larus fuscus,25979,3488,11.8369701700207
Fulica atra,26065,3402,11.5451182678929
Garrulus glandarius,26073,3394,11.5179692537415
Sitta europaea,26337,3130,10.6220517867445
Phylloscopus collybita,26452,3015,10.2317847083178
Apus apus,26456,3011,10.2182102012421
Branta canadensis,26860,2607,8.84718498659517
Buteo buteo,26910,2557,8.67750364814878
Larus argentatus,26913,2554,8.66732276784199
Aythya fuligula,27190,2277,7.72728815284895
Erinaceus europaeus,27211,2256,7.65602199070146
Spinus spinus,27301,2166,7.35059558149795
Picus viridis,27311,2156,7.31665931380867
Columba oenas,27322,2145,7.27932941935046
Phalacrocorax carbo,27375,2092,7.09946720059728
Turdus iliacus,27385,2082,7.065530932908
Motacilla cinerea,27607,1860,6.31214579020599
Corvus frugilegus,27643,1824,6.18997522652459
Rana temporaria,27695,1772,6.01350663454033
Tachybaptus ruficollis,27718,1749,5.93545321885499
Hirundo rustica,27719,1748,5.93205959208606
Falco tinnunculus,27742,1725,5.85400617640072
Vulpes vulpes,27839,1628,5.52482437981471
Emberiza schoeniclus,27846,1621,5.50106899243221
Alcedo atthis,27961,1506,5.1108019140055
Phasianus colchicus,28021,1446,4.90718430786982
Turdus pilaris,28046,1421,4.82234363864662
Pieris rapae,28058,1409,4.78162011741949
Pieris brassicae,28078,1389,4.71374758204093
Delichon urbicum,28125,1342,4.55424712390131
Spatula clypeata,28154,1313,4.4558319476024
Strix aluco,28176,1291,4.38117215868599
Podiceps cristatus,28192,1275,4.32687413038314
Anser anser,28223,1244,4.22167170054637
Larus canus,28251,1216,4.12665015101639
Anas crecca,28261,1206,4.09271388332711
Curruca communis,28263,1204,4.08592662978926
Aythya ferina,28264,1203,4.08253300302033
Certhia familiaris,28359,1108,3.76013845997217
Aglais io,28370,1097,3.72280856551396
Phylloscopus trochilus,28426,1041,3.532765466454
