tf_id,plant_date,area,trees,date,FID,LSOA11CD,LSOA11NM,LSOA11NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID,lower_super_output_area_2011_name,rural_urban_classification_2011_code,rural_urban_classification_2011_10_fold,rural_urban_classification_2011_2_fold,lat,lon
85,14 March 2020,207,,2020-03-14,28053,E01028787,West Oxfordshire 011C,West Oxfordshire 011C,440202,208621,-1.41871,51.77482,27879998.1242752,36423.6149088215,a7863ca8-1f47-47df-966c-d9fe5a27fda8,West Oxfordshire 011C,D1 ,Rural town and fringe ,Rural,51.777889,-1.469139
86,28 January 2021,201,,2021-01-28,27812,E01028537,Oxford 006D,Oxford 006D,454210,207507,-1.21587,51.76363,755716.864212036,3955.85817683492,70b927c9-5f92-4bb7-8a16-acc68f8dd86e,Oxford 006D,C1  ,Urban city and town  ,Urban,51.769139,-1.215472
87,04 February 2021,206,,2021-02-04,27821,E01028546,Oxford 014B,Oxford 014B,452985,204595,-1.23407,51.73757,545502.780380249,3334.01152657445,af7b3c46-5483-4b46-a078-76fff5ab4889,Oxford 014B,C1  ,Urban city and town  ,Urban,51.734778,-1.239861
88,04 February 2021,205,,2021-02-04,14246,E01014689,Bristol 002B,Bristol 002B,358332,178417,-2.60171,51.50314,273877.61435318,2543.77312575755,6f0d2ea7-a4ab-4bd9-b0b3-c383644058a7,Bristol 002B,C1  ,Urban city and town  ,Urban,51.500278,-2.600333
91,26 February 2021,205,,2021-02-26,13372,E01013785,Leicester 020D,Leicester 020D,455728,304692,-1.17793,52.63714,1037111.79878235,4305.75910883865,9ceda9fb-ec7a-453e-82c4-e527ad741f91,Leicester 020D,C1  ,Urban city and town  ,Urban,52.632139,-1.174139
94,11 March 2021,205,,2021-03-11,30586,E01031378,Adur 007D,Adur 007D,520235,104595,-0.29413,50.8284,745119.254535675,3654.84517920845,10503cd2-4d6e-42e2-8a5e-b65f3d991a61,Adur 007D,C1  ,Urban city and town  ,Urban,50.828,-0.298167
95,10 March 2021,205,,2021-03-10,10164,E01010470,Wolverhampton 020E,Wolverhampton 020E,390221,298113,-2.14574,52.58075,304836.465950012,2606.2096763913,2c7aa377-4e2b-41ab-a625-69cf6de3d8ef,Wolverhampton 020E,A1,Urban major conurbation ,Urban,52.582056,-2.146194
96,11 March 2021,205,,2021-03-11,15072,E01015536,Swindon 024D,Swindon 024D,415476,182273,-1.77824,51.53914,3439033.78273773,13940.4935793714,674af67d-667b-42d2-8e6f-d766a8705204,Swindon 024D,C1  ,Urban city and town  ,Urban,51.542778,-1.786361
97,18 March 2021,209,,2021-03-18,3656,E01003740,Redbridge 031D,Redbridge 031D,545404,186182,0.096012,51.55579,446169.393966675,3861.70595690724,56ac9831-435b-4e37-b885-ba5d196ed082,Redbridge 031D,A1,Urban major conurbation ,Urban,51.556861,0.09075
98,26 March 2021,202,,2021-03-26,15848,E01016323,West Berkshire 012C,West Berkshire 012C,446047,168986,-1.33919,51.41802,2849005.17974854,10984.9855554197,10441c64-5245-4179-be1b-c442d19f8935,West Berkshire 012C,C1  ,Urban city and town  ,Urban,51.404913,-1.341047
99,25 March 2021,207,,2021-03-25,7385,E01007582,Doncaster 016B,Doncaster 016B,455542,404534,-1.16348,53.53455,262729.815139771,2154.97457291115,c0f8cf84-e5f8-44e7-8d04-5fb4ca80b218,Doncaster 016B,B1,Urban minor conurbation,Urban,53.535333,-1.167639
100,26 March 2021,204,,2021-03-26,7179,E01007371,Barnsley 022C,Barnsley 022C,445253,403735,-1.31881,53.52835,1010455.12574768,4894.07171158417,a0f7eabb-7135-40a1-9f27-73a5e2ba1faf,Barnsley 022C,B1,Urban minor conurbation,Urban,53.526,-1.309611
138,24 November 2021,202,,2021-11-24,10428,E01010736,Bradford 048D,Bradford 048D,416538,431570,-1.75051,53.78021,416072.855697632,2616.04776466839,08a259e0-5a05-43fa-a7fe-262c20d8c64d,Bradford 048D,A1,Urban major conurbation ,Urban,53.778685,-1.749937
139,16 November 2021,205,,2021-11-16,7077,E01007269,Wirral 010C,Wirral 010C,331377,390494,-3.03371,53.40679,1150025.61401367,6429.37639888641,2919c0dc-b45b-4c34-aa1e-a9a551f9ec57,Wirral 010C,A1,Urban major conurbation ,Urban,53.407195,-3.026452
